title,author,editor,isbn,default_price
Fanny Owen,Agustina Bessa-Luis,Relogio DAgua,9789896417727,17.0
O Diario de Anne Frank,Anne Frank,Livros do Brasil,9789723829112,16.6
Livro Sexto,Sophia de Mello Breyner Andresen,Assirio,9789723717839,13.3
Livro do Desassossego,Fernando Pessoa,Assirio,9789723717877,16.6
O ano da morte de Ricardo Reis,Jose Saramago ,Porto Editora ,9789720048820,17.7
Jogos Crueis,Jodi Picoult,Bertrand Editora,9789722535809,18.8
Um clarao de luz,Jodi Picoult,Presenca,9789722363402,17.9
Fechada Para o Inverno,Jorn Lier Horst,Dom Quixote,9789722060615,18.8
A toupeira,John Le Carre,Dom Quixote,9789722056045,19.9
A torre da barbela,Ruben A.,Livros do Brasil,9789897110887,8.8
O velho que lia romances de amor,Luis Sepulveda,Livros do Brasil,9789723830422,8.8
O velho que lia romances de amor,Luis Sepulveda,Porto Editora,9789720041876,13.3
A metamorfose,Franz Kafka,Livros do Brasil,9789723830385,8.8
A metamorfose,Franz Kafka,Presenca,9789722360326,10.0
A grande arte,Rubem Fonseca,Wook,9789720071514,16.6
A Célula Adormecida,Nuno Nepomuceno,Wook,9789898979773,19.95
O Buraco da Agulha,Ken Follett,Presenca,9789722366182,19.9
Persuasão,Jane Austen,Presenca,9789722360333,15.9
Deontologia Profissional dos Advogados,CRL OA,Almedina,9789724080819,34.9
Advocacia e Deontologia Profissional do Advogado,Manuel Ramirez Fernandes,Wook,9789727248162,29.5
